iso3_i,country_i,iso3_j,country_j,trade_musd,ln_trade,distance,ln_dist,gdp_i_musd,ln_gdp_i,gdp_j_musd,ln_gdp_j,contiguity,common_language,agree_fta,colony_ever
ITA,Italy,GBR,United Kingdom,25338424.4,17.0478,1501.6,7.3143,2270468.0,14.6355,2625843.8,14.7809,0,0,1,0
BGD,Bangladesh,VNM,Viet Nam,83673.3,11.3347,1975.7,7.5887,554078.6,13.2251,569957.4,13.2533,0,1,0,0
BEL,Belgium-Luxembourg,FRA,France,44097440.7,17.6019,734.2,6.5987,476003.9,13.0732,2689070.0,14.8047,1,1,1,0
SAU,Saudi Arabia,POL,Poland,1275806.4,14.0591,3748.0,8.229,1309675.0,14.0853,1041614.3,13.8563,0,0,0,0
CHN,China,THA,Thailand,51764290.5,17.7622,2679.9,7.8936,17797724.0,16.6946,1102635.0,13.9132,0,0,1,0
IRQ,Iraq,SAU,Saudi Arabia,10549.8,9.2639,1162.3,7.0581,611053.3,13.3229,1309675.0,14.0853,1,1,1,1
DZA,Algeria,CHE,Switzerland,65400.4,11.0883,1370.4,7.2229,522118.3,13.1656,558580.2,13.2332,0,1,0,0
ESP,Spain,ROU,Romania,2183585.7,14.5965,2404.4,7.7851,1667510.2,14.3268,485827.0,13.0936,0,0,1,0
IDN,Indonesia,THA,Thailand,5551217.5,15.5295,2349.4,7.7619,2741298.0,14.8239,1102635.0,13.9132,0,1,1,0
FRA,France,EGY,Egypt,2506415.7,14.7344,3262.1,8.0901,2689070.0,14.8047,1103773.9,13.9142,0,1,1,0
TUR,Turkey,CHE,Switzerland,1476551.5,14.2052,2170.8,7.6829,2189993.8,14.5994,558580.2,13.2332,0,0,1,0
CHE,Switzerland,DZA,Algeria,287793.0,12.57,1370.4,7.2229,558580.2,13.2332,522118.3,13.1656,0,1,0,0
SAU,Saudi Arabia,EGY,Egypt,3569115.1,15.0878,1464.6,7.2894,1309675.0,14.0853,1103773.9,13.9142,0,1,1,0
CHN,China,MYS,Malaysia,52193391.5,17.7705,3559.4,8.1773,17797724.0,16.6946,743163.9,13.5187,0,1,1,0
GBR,United Kingdom,DEU,Fmr Fed. Rep. of Germany,40101224.8,17.5069,816.8,6.7053,2625843.8,14.7809,4042900.2,15.2125,0,0,1,0
RUS,Russian Federation,ROU,Romania,2109867.1,14.5621,2462.2,7.8088,3331626.2,15.019,485827.0,13.0936,0,0,0,0
ARE,United Arab Emirates,BGD,Bangladesh,1000401.8,13.8159,3571.9,8.1808,639613.9,13.3686,554078.6,13.2251,0,1,0,0
ROU,Romania,CHE,Switzerland,831650.9,13.6312,1385.5,7.2338,485827.0,13.0936,558580.2,13.2332,0,0,1,0
TUR,Turkey,SWE,Sweden,1373812.1,14.1331,2484.8,7.818,2189993.8,14.5994,442183.8,12.9995,0,0,0,0
EGY,Egypt,NLD,Netherlands,537886.8,13.1954,3278.0,8.095,1103773.9,13.9142,848082.2,13.6507,0,0,1,0
ARG,Argentina,BRA,Brazil,7671842.0,15.8531,2401.4,7.7838,732951.0,13.5048,2905474.5,14.8821,1,1,1,0
IRN,Iran,IND,India,275421.5,12.5261,3021.4,8.0135,1306574.1,14.0829,8411253.0,15.9451,0,0,0,0
DEU,Fmr Fed. Rep. of Germany,RUS,Russian Federation,26290821.8,17.0847,3023.4,8.0141,4042900.2,15.2125,3331626.2,15.019,0,0,0,0
PHL,Philippines,MYS,Malaysia,1994973.3,14.5061,2273.2,7.7289,800424.5,13.5929,743163.9,13.5187,0,1,1,0
PHL,Philippines,BGD,Bangladesh,18758.9,9.8394,3560.1,8.1775,800424.5,13.5929,554078.6,13.2251,0,1,0,0
ITA,Italy,IRQ,Iraq,608488.3,13.3187,3007.4,8.0088,2270468.0,14.6355,611053.3,13.3229,0,0,0,0
MYS,Malaysia,VNM,Viet Nam,7278279.3,15.8004,1440.0,7.2724,743163.9,13.5187,569957.4,13.2533,0,1,1,0
RUS,Russian Federation,CHE,Switzerland,2886261.3,14.8755,3378.9,8.1253,3331626.2,15.019,558580.2,13.2332,0,0,0,0
TUR,Turkey,PAK,Pakistan,631940.3,13.3566,3677.0,8.2099,2189993.8,14.5994,1045692.6,13.8602,0,0,0,0
VNM,Viet Nam,KOR,Rep. of Korea,19565482.5,16.7893,3176.9,8.0637,569957.4,13.2533,1873959.5,14.4436,0,1,1,0
BGD,Bangladesh,ARE,United Arab Emirates,412250.0,12.9294,3571.9,8.1808,554078.6,13.2251,639613.9,13.3686,0,1,0,0
ESP,Spain,BEL,Belgium-Luxembourg,7800892.5,15.8697,1374.9,7.2262,1667510.2,14.3268,476003.9,13.0732,0,0,1,0
CHE,Switzerland,FRA,France,16172329.5,16.5988,707.5,6.5617,558580.2,13.2332,2689070.0,14.8047,1,1,1,0
TUR,Turkey,RUS,Russian Federation,4499079.5,15.3194,2670.5,7.89,2189993.8,14.5994,3331626.2,15.019,0,0,0,0
ITA,Italy,NLD,Netherlands,13183878.0,16.3945,1185.9,7.0782,2270468.0,14.6355,848082.2,13.6507,0,0,1,0
ESP,Spain,GBR,United Kingdom,18926751.2,16.7561,1459.5,7.2858,1667510.2,14.3268,2625843.8,14.7809,0,0,1,0
DEU,Fmr Fed. Rep. of Germany,EGY,Egypt,3750934.6,15.1375,2958.0,7.9923,4042900.2,15.2125,1103773.9,13.9142,0,0,1,0
BEL,Belgium-Luxembourg,RUS,Russian Federation,3019410.2,14.9206,3337.4,8.113,476003.9,13.0732,3331626.2,15.019,0,0,0,0
TUR,Turkey,IRQ,Iraq,9139301.0,16.0281,1293.6,7.1652,2189993.8,14.5994,611053.3,13.3229,1,1,0,1
THA,Thailand,KOR,Rep. of Korea,4811932.0,15.3866,3686.2,8.2124,1102635.0,13.9132,1873959.5,14.4436,0,1,1,0
PAK,Pakistan,IRN,Iran,3.2,1.1628,1932.3,7.5665,1045692.6,13.8602,1306574.1,14.0829,1,1,0,0
TUR,Turkey,IRN,Iran,2140528.1,14.5766,1838.9,7.5169,2189993.8,14.5994,1306574.1,14.0829,1,1,0,0
BGD,Bangladesh,PAK,Pakistan,57854.3,10.9657,2130.4,7.6641,554078.6,13.2251,1045692.6,13.8602,0,1,1,1
RUS,Russian Federation,NLD,Netherlands,22539898.0,16.9308,3244.1,8.0846,3331626.2,15.019,848082.2,13.6507,0,0,0,0
ESP,Spain,CHE,Switzerland,6705502.6,15.7184,1181.5,7.0746,1667510.2,14.3268,558580.2,13.2332,0,1,1,0
NLD,Netherlands,POL,Poland,14555370.0,16.4935,992.1,6.8998,848082.2,13.6507,1041614.3,13.8563,0,0,1,0
EGY,Egypt,BEL,Belgium-Luxembourg,231609.7,12.3528,3217.9,8.0765,1103773.9,13.9142,476003.9,13.0732,0,1,1,0
CHN,China,PHL,Philippines,36439620.9,17.4112,2547.1,7.8427,17797724.0,16.6946,800424.5,13.5929,0,0,1,0
ARE,United Arab Emirates,PAK,Pakistan,5559114.6,15.5309,1642.2,7.4038,639613.9,13.3686,1045692.6,13.8602,0,1,0,0
CHE,Switzerland,ITA,Italy,13767802.0,16.4378,616.9,6.4248,558580.2,13.2332,2270468.0,14.6355,1,1,1,0
JPN,Japan,BGD,Bangladesh,1456666.1,14.1917,4700.5,8.4554,5162353.5,15.4569,554078.6,13.2251,0,0,0,0
BEL,Belgium-Luxembourg,PAK,Pakistan,386259.2,12.8643,5889.2,8.6809,476003.9,13.0732,1045692.6,13.8602,0,0,0,0
ARE,United Arab Emirates,POL,Poland,167959.4,12.0315,4249.9,8.3547,639613.9,13.3686,1041614.3,13.8563,0,0,0,0
SAU,Saudi Arabia,FRA,France,2906149.3,14.8823,4577.2,8.4289,1309675.0,14.0853,2689070.0,14.8047,0,0,0,0
CAN,Canada,FRA,France,2802369.8,14.846,6472.2,8.7753,1620789.4,14.2984,2689070.0,14.8047,0,1,1,1
IRQ,Iraq,NGA,Nigeria,1410.9,7.252,4829.6,8.4825,611053.3,13.3229,822121.3,13.6196,0,0,0,0
CHN,China,POL,Poland,33208344.4,17.3183,7517.0,8.9249,17797724.0,16.6946,1041614.3,13.8563,0,0,0,0
FRA,France,NGA,Nigeria,836714.0,13.6372,4415.3,8.3928,2689070.0,14.8047,822121.3,13.6196,0,0,0,0
IND,India,KOR,Rep. of Korea,4636794.6,15.3495,5026.2,8.5224,8411253.0,15.9451,1873959.5,14.4436,0,1,1,0
GBR,United Kingdom,IND,India,4645578.5,15.3514,7442.2,8.9149,2625843.8,14.7809,8411253.0,15.9451,0,1,0,1
TUR,Turkey,BGD,Bangladesh,340862.5,12.7392,5690.3,8.6465,2189993.8,14.5994,554078.6,13.2251,0,0,0,0
BGD,Bangladesh,JPN,Japan,1305547.0,14.0821,4700.5,8.4554,554078.6,13.2251,5162353.5,15.4569,0,0,0,0
SAU,Saudi Arabia,CHE,Switzerland,688735.6,13.4426,4109.4,8.321,1309675.0,14.0853,558580.2,13.2332,0,0,0,0
CAN,Canada,DZA,Algeria,453712.0,13.0252,7244.0,8.8879,1620789.4,14.2984,522118.3,13.1656,0,1,0,0
IDN,Indonesia,IRN,Iran,198273.4,12.1974,7411.7,8.9108,2741298.0,14.8239,1306574.1,14.0829,0,0,0,0
RUS,Russian Federation,THA,Thailand,1500764.2,14.2215,6345.1,8.7554,3331626.2,15.019,1102635.0,13.9132,0,0,0,0
ARE,United Arab Emirates,BEL,Belgium-Luxembourg,1201290.2,13.9989,5156.8,8.5481,639613.9,13.3686,476003.9,13.0732,0,0,0,0
POL,Poland,ARE,United Arab Emirates,669966.4,13.415,4249.9,8.3547,1041614.3,13.8563,639613.9,13.3686,0,0,0,0
THA,Thailand,ARE,United Arab Emirates,2470065.9,14.7198,4911.9,8.4994,1102635.0,13.9132,639613.9,13.3686,0,1,0,0
EGY,Egypt,BGD,Bangladesh,87894.7,11.3839,5880.4,8.6794,1103773.9,13.9142,554078.6,13.2251,0,1,0,0
ARE,United Arab Emirates,ITA,Italy,5266834.4,15.4769,4385.9,8.3862,639613.9,13.3686,2270468.0,14.6355,0,0,0,0
IRN,Iran,FRA,France,18702.3,9.8364,4449.0,8.4004,1306574.1,14.0829,2689070.0,14.8047,0,0,0,0
CHN,China,IND,India,65319729.3,17.9948,3902.0,8.2693,17797724.0,16.6946,8411253.0,15.9451,1,0,0,0
PAK,Pakistan,EGY,Egypt,80826.7,11.3001,3824.4,8.2491,1045692.6,13.8602,1103773.9,13.9142,0,1,0,0
PAK,Pakistan,BEL,Belgium-Luxembourg,423426.3,12.9561,5889.2,8.6809,1045692.6,13.8602,476003.9,13.0732,0,0,0,0
JPN,Japan,IND,India,9376145.8,16.0537,5913.5,8.685,5162353.5,15.4569,8411253.0,15.9451,0,0,1,0
MYS,Malaysia,RUS,Russian Federation,965287.5,13.7802,7455.0,8.9166,743163.9,13.5187,3331626.2,15.019,0,0,0,0
RUS,Russian Federation,FRA,France,4922822.6,15.4094,3857.9,8.2579,3331626.2,15.019,2689070.0,14.8047,0,0,0,0
USA,USA,SWE,Sweden,4263410.2,15.2656,7441.1,8.9148,17712704.0,16.6898,442183.8,12.9995,0,0,0,1
ZAF,So. African Customs Union,IRN,Iran,2614.5,7.8688,7576.0,8.9327,672752.5,13.4191,1306574.1,14.0829,0,0,0,0
AUS,Australia,PHL,Philippines,1230227.3,14.0227,5728.4,8.6532,1177003.4,13.9785,800424.5,13.5929,0,1,1,0
ESP,Spain,IRN,Iran,234006.1,12.3631,4835.0,8.4836,1667510.2,14.3268,1306574.1,14.0829,0,0,0,0
BGD,Bangladesh,ROU,Romania,37353.6,10.5282,6263.5,8.7425,554078.6,13.2251,485827.0,13.0936,0,0,0,0
VNM,Viet Nam,IRQ,Iraq,298680.8,12.6071,6521.0,8.7828,569957.4,13.2533,611053.3,13.3229,0,0,0,0
JPN,Japan,IRN,Iran,62631.9,11.045,7508.1,8.9237,5162353.5,15.4569,1306574.1,14.0829,0,0,0,0
FRA,France,ARE,United Arab Emirates,3679047.1,15.1182,5319.8,8.5792,2689070.0,14.8047,639613.9,13.3686,0,0,0,0
CHE,Switzerland,ARE,United Arab Emirates,2961367.9,14.9012,4833.7,8.4834,558580.2,13.2332,639613.9,13.3686,0,1,0,0
ARG,Argentina,MEX,Mexico,289416.4,12.5756,7480.9,8.9201,732951.0,13.5048,2288709.0,14.6435,0,1,0,0
TUR,Turkey,THA,Thailand,347181.7,12.7576,7188.2,8.8802,2189993.8,14.5994,1102635.0,13.9132,0,0,0,0
THA,Thailand,EGY,Egypt,1013729.0,13.8291,7298.9,8.8955,1102635.0,13.9132,1103773.9,13.9142,0,1,0,0
NLD,Netherlands,IND,India,2455667.0,14.7139,7018.0,8.8562,848082.2,13.6507,8411253.0,15.9451,0,0,0,0
USA,USA,ESP,Spain,13460113.4,16.4152,7461.2,8.9175,17712704.0,16.6898,1667510.2,14.3268,0,1,0,1
BEL,Belgium-Luxembourg,IND,India,5399579.6,15.5018,7055.0,8.8615,476003.9,13.0732,8411253.0,15.9451,0,0,0,0
RUS,Russian Federation,NGA,Nigeria,1014026.5,13.8294,6845.5,8.8313,3331626.2,15.019,822121.3,13.6196,0,0,0,0
ESP,Spain,IRQ,Iraq,157092.6,11.9646,4258.8,8.3568,1667510.2,14.3268,611053.3,13.3229,0,0,0,0
NGA,Nigeria,ROU,Romania,2685.9,7.8958,4525.8,8.4175,822121.3,13.6196,485827.0,13.0936,0,0,0,0
DEU,Fmr Fed. Rep. of Germany,IRN,Iran,1684934.7,14.3372,3844.2,8.2543,4042900.2,15.2125,1306574.1,14.0829,0,0,0,0
CAN,Canada,ESP,Spain,1036368.8,13.8512,6491.9,8.7783,1620789.4,14.2984,1667510.2,14.3268,0,0,1,0
ARE,United Arab Emirates,ESP,Spain,378506.7,12.844,5612.6,8.6328,639613.9,13.3686,1667510.2,14.3268,0,0,0,0
BGD,Bangladesh,SWE,Sweden,521071.2,13.1636,6924.6,8.8428,554078.6,13.2251,442183.8,12.9995,0,0,0,0
JPN,Japan,SWE,Sweden,1261348.2,14.0477,8196.8,9.0115,5162353.5,15.4569,442183.8,12.9995,0,0,0,0
BRA,Brazil,CHE,Switzerland,1488329.3,14.2132,8982.3,9.103,2905474.5,14.8821,558580.2,13.2332,0,1,0,0
BEL,Belgium-Luxembourg,COL,Colombia,263285.8,12.481,8741.4,9.0758,476003.9,13.0732,634618.4,13.3608,0,0,1,0
THA,Thailand,ZAF,So. African Customs Union,2021795.0,14.5195,9257.5,9.1332,1102635.0,13.9132,672752.5,13.4191,0,1,0,0
CHE,Switzerland,BGD,Bangladesh,129379.7,11.7705,7608.1,8.937,558580.2,13.2332,554078.6,13.2251,0,1,0,0
JPN,Japan,DEU,Fmr Fed. Rep. of Germany,17883065.7,16.6994,9104.2,9.1165,5162353.5,15.4569,4042900.2,15.2125,0,0,0,0
CHN,China,FRA,France,39938586.6,17.5029,8907.6,9.0947,17797724.0,16.6946,2689070.0,14.8047,0,0,0,0
EGY,Egypt,PHL,Philippines,7971.3,8.9836,9414.9,9.1501,1103773.9,13.9142,800424.5,13.5929,0,1,0,0
IDN,Indonesia,IRQ,Iraq,188204.5,12.1453,7997.3,8.9869,2741298.0,14.8239,611053.3,13.3229,0,0,0,0
ESP,Spain,IND,India,1403365.5,14.1544,7784.5,8.9599,1667510.2,14.3268,8411253.0,15.9451,0,0,0,0
VNM,Viet Nam,NLD,Netherlands,7096168.6,15.7751,9457.4,9.1545,569957.4,13.2533,848082.2,13.6507,0,0,0,0
BRA,Brazil,GBR,United Kingdom,2611286.2,14.7754,8948.2,9.0992,2905474.5,14.8821,2625843.8,14.7809,0,1,0,0
THA,Thailand,NGA,Nigeria,286986.3,12.5672,10252.1,9.2352,1102635.0,13.9132,822121.3,13.6196,0,1,0,0
CAN,Canada,RUS,Russian Federation,515433.3,13.1528,7868.6,8.9706,1620789.4,14.2984,3331626.2,15.019,0,0,0,0
FRA,France,MEX,Mexico,3092211.6,14.9444,9223.2,9.1295,2689070.0,14.8047,2288709.0,14.6435,0,0,1,0
THA,Thailand,ESP,Spain,1078704.2,13.8913,10159.0,9.2261,1102635.0,13.9132,1667510.2,14.3268,0,0,0,0
ARE,United Arab Emirates,JPN,Japan,15259892.5,16.5407,7755.1,8.9561,639613.9,13.3686,5162353.5,15.4569,0,0,0,0
ROU,Romania,THA,Thailand,106200.2,11.5731,7780.9,8.9594,485827.0,13.0936,1102635.0,13.9132,0,0,0,0
ZAF,So. African Customs Union,ITA,Italy,1281893.9,14.0638,8138.6,9.0044,672752.5,13.4191,2270468.0,14.6355,0,0,1,0
DEU,Fmr Fed. Rep. of Germany,VNM,Viet Nam,3404628.8,15.0406,9179.4,9.1247,4042900.2,15.2125,569957.4,13.2533,0,0,0,0
AUS,Australia,IND,India,11338708.3,16.2437,9372.0,9.1455,1177003.4,13.9785,8411253.0,15.9451,0,1,0,0
IRQ,Iraq,JPN,Japan,159571.8,11.9802,8137.1,9.0042,611053.3,13.3229,5162353.5,15.4569,0,0,0,0
CHN,China,DEU,Fmr Fed. Rep. of Germany,103196270.5,18.4521,8131.7,9.0035,17797724.0,16.6946,4042900.2,15.2125,0,0,0,0
PHL,Philippines,ROU,Romania,31412.6,10.355,9536.1,9.1628,800424.5,13.5929,485827.0,13.0936,0,0,0,0
NLD,Netherlands,ZAF,So. African Customs Union,1433179.8,14.1754,9289.9,9.1367,848082.2,13.6507,672752.5,13.4191,0,0,1,0
JPN,Japan,USA,USA,112674465.1,18.54,10229.0,9.233,5162353.5,15.4569,17712704.0,16.6898,0,0,0,0
MEX,Mexico,ITA,Italy,1142412.1,13.9487,10076.9,9.218,2288709.0,14.6435,2270468.0,14.6355,0,0,1,0
SWE,Sweden,MYS,Malaysia,336939.4,12.7277,9537.3,9.163,442183.8,12.9995,743163.9,13.5187,0,0,0,0
ZAF,So. African Customs Union,ESP,Spain,961237.9,13.776,8286.5,9.0224,672752.5,13.4191,1667510.2,14.3268,0,0,1,0
ZAF,So. African Customs Union,SWE,Sweden,160034.2,11.9831,9854.9,9.1957,672752.5,13.4191,442183.8,12.9995,0,0,1,0
BGD,Bangladesh,ESP,Spain,2951811.9,14.8979,8647.5,9.065,554078.6,13.2251,1667510.2,14.3268,0,0,0,0
DZA,Algeria,MEX,Mexico,27526.4,10.2229,9817.9,9.192,522118.3,13.1656,2288709.0,14.6435,0,0,0,0
BRA,Brazil,POL,Poland,1214612.3,14.0099,9976.1,9.2079,2905474.5,14.8821,1041614.3,13.8563,0,0,0,0
ZAF,So. African Customs Union,IDN,Indonesia,531263.7,13.183,9035.2,9.1089,672752.5,13.4191,2741298.0,14.8239,0,1,0,0
KOR,Rep. of Korea,AUS,Australia,6385058.4,15.6695,8026.6,8.9905,1873959.5,14.4436,1177003.4,13.9785,0,1,1,0
EGY,Egypt,CHN,China,728726.9,13.4991,7710.1,8.9503,1103773.9,13.9142,17797724.0,16.6946,0,0,0,0
CHE,Switzerland,MEX,Mexico,1379770.5,14.1374,9535.2,9.1627,558580.2,13.2332,2288709.0,14.6435,0,1,1,0
BGD,Bangladesh,AUS,Australia,753200.7,13.5321,8589.9,9.0583,554078.6,13.2251,1177003.4,13.9785,0,1,0,0
ZAF,So. African Customs Union,BGD,Bangladesh,212450.7,12.2665,8988.3,9.1037,672752.5,13.4191,554078.6,13.2251,0,1,0,0
VNM,Viet Nam,CHE,Switzerland,2274261.6,14.6372,9450.5,9.1538,569957.4,13.2533,558580.2,13.2332,0,1,0,0
NLD,Netherlands,COL,Colombia,367442.8,12.8143,8785.4,9.0809,848082.2,13.6507,634618.4,13.3608,0,0,1,0
ZAF,So. African Customs Union,BEL,Belgium-Luxembourg,3086379.4,14.9425,9167.8,9.1235,672752.5,13.4191,476003.9,13.0732,0,0,1,0
BGD,Bangladesh,ZAF,So. African Customs Union,83886.6,11.3372,8988.3,9.1037,554078.6,13.2251,672752.5,13.4191,0,1,0,0
THA,Thailand,CHE,Switzerland,8007377.0,15.8959,9126.9,9.119,1102635.0,13.9132,558580.2,13.2332,0,1,0,0
DZA,Algeria,THA,Thailand,135872.8,11.8195,9772.9,9.1874,522118.3,13.1656,1102635.0,13.9132,0,0,0,0
NGA,Nigeria,BGD,Bangladesh,63221.2,11.0544,9049.7,9.1105,822121.3,13.6196,554078.6,13.2251,0,1,0,0
COL,Colombia,POL,Poland,133786.7,11.804,9763.5,9.1864,634618.4,13.3608,1041614.3,13.8563,0,0,1,0
CAN,Canada,TUR,Turkey,998896.4,13.8144,8611.1,9.0608,1620789.4,14.2984,2189993.8,14.5994,0,0,0,0
ARG,Argentina,USA,USA,3470980.6,15.0599,8703.2,9.0714,732951.0,13.5048,17712704.0,16.6898,0,1,0,0
BRA,Brazil,USA,USA,21711464.9,16.8934,8057.6,8.9944,2905474.5,14.8821,17712704.0,16.6898,0,1,0,0
IRN,Iran,ARG,Argentina,812.4,6.6999,13923.9,9.5414,1306574.1,14.0829,732951.0,13.5048,0,0,0,0
ARG,Argentina,THA,Thailand,521088.2,13.1637,17127.9,9.7485,732951.0,13.5048,1102635.0,13.9132,0,1,0,0
ARG,Argentina,FRA,France,377184.8,12.8405,10852.2,9.2921,732951.0,13.5048,2689070.0,14.8047,0,1,0,0
VNM,Viet Nam,ARG,Argentina,693651.4,13.4497,17592.1,9.7752,569957.4,13.2533,732951.0,13.5048,0,1,0,0
AUS,Australia,ROU,Romania,23465.8,10.0633,14767.0,9.6001,1177003.4,13.9785,485827.0,13.0936,0,0,0,0
IDN,Indonesia,NLD,Netherlands,3180178.2,14.9724,11378.5,9.3395,2741298.0,14.8239,848082.2,13.6507,0,1,0,1
BRA,Brazil,AUS,Australia,498194.7,13.1187,14091.6,9.5533,2905474.5,14.8821,1177003.4,13.9785,0,1,0,0
COL,Colombia,AUS,Australia,159929.9,11.9825,14827.0,9.6042,634618.4,13.3608,1177003.4,13.9785,0,0,0,0
EGY,Egypt,USA,USA,2389517.1,14.6866,10480.5,9.2573,1103773.9,13.9142,17712704.0,16.6898,0,1,0,0
COL,Colombia,IRQ,Iraq,70116.1,11.1579,12279.0,9.4156,634618.4,13.3608,611053.3,13.3229,0,0,0,0
MEX,Mexico,EGY,Egypt,142670.5,11.8683,12280.4,9.4158,2288709.0,14.6435,1103773.9,13.9142,0,0,0,0
AUS,Australia,BRA,Brazil,552061.5,13.2214,14091.6,9.5533,1177003.4,13.9785,2905474.5,14.8821,0,1,0,0
RUS,Russian Federation,ARG,Argentina,121281.9,11.7059,14447.6,9.5783,3331626.2,15.019,732951.0,13.5048,0,0,0,0
AUS,Australia,PAK,Pakistan,386692.9,12.8654,10505.4,9.2596,1177003.4,13.9785,1045692.6,13.8602,0,1,0,0
COL,Colombia,VNM,Viet Nam,26295.7,10.1772,17646.7,9.7783,634618.4,13.3608,569957.4,13.2533,0,0,0,0
POL,Poland,IDN,Indonesia,293275.3,12.5889,10407.6,9.2503,1041614.3,13.8563,2741298.0,14.8239,0,0,0,0
ARE,United Arab Emirates,ARG,Argentina,106216.1,11.5732,13831.8,9.5347,639613.9,13.3686,732951.0,13.5048,0,1,0,0
MEX,Mexico,BGD,Bangladesh,1176.2,7.07,14794.7,9.602,2288709.0,14.6435,554078.6,13.2251,0,0,0,0
TUR,Turkey,MEX,Mexico,574868.7,13.2619,11612.2,9.3598,2189993.8,14.5994,2288709.0,14.6435,0,0,0,0
CAN,Canada,PHL,Philippines,744306.4,13.5202,12646.6,9.4451,1620789.4,14.2984,800424.5,13.5929,0,1,0,0
ARG,Argentina,BEL,Belgium-Luxembourg,278653.2,12.5377,11330.6,9.3353,732951.0,13.5048,476003.9,13.0732,0,1,0,0
GBR,United Kingdom,AUS,Australia,4965534.1,15.418,16524.7,9.7126,2625843.8,14.7809,1177003.4,13.9785,0,1,0,1
BGD,Bangladesh,COL,Colombia,54475.1,10.9055,16371.1,9.7033,554078.6,13.2251,634618.4,13.3608,0,0,0,0
USA,USA,KOR,Rep. of Korea,53419818.0,17.7937,10645.6,9.2729,17712704.0,16.6898,1873959.5,14.4436,0,1,1,0
MYS,Malaysia,CAN,Canada,1583929.3,14.2754,14030.9,9.549,743163.9,13.5187,1620789.4,14.2984,0,1,0,0
IRN,Iran,BRA,Brazil,106623.4,11.5771,11806.2,9.3764,1306574.1,14.0829,2905474.5,14.8821,0,0,0,0
KOR,Rep. of Korea,MEX,Mexico,10608537.9,16.1772,11749.0,9.3715,1873959.5,14.4436,2288709.0,14.6435,0,0,0,0
KOR,Rep. of Korea,NGA,Nigeria,663306.6,13.405,12112.8,9.402,1873959.5,14.4436,822121.3,13.6196,0,1,0,0
ZAF,So. African Customs Union,PHL,Philippines,66408.2,11.1036,11200.5,9.3237,672752.5,13.4191,800424.5,13.5929,0,1,0,0
ZAF,So. African Customs Union,KOR,Rep. of Korea,1517312.5,14.2325,12782.1,9.4558,672752.5,13.4191,1873959.5,14.4436,0,1,0,0
ARG,Argentina,NLD,Netherlands,1671599.5,14.3293,11444.8,9.3453,732951.0,13.5048,848082.2,13.6507,0,0,0,0
CHE,Switzerland,IDN,Indonesia,728617.0,13.4989,11260.2,9.329,558580.2,13.2332,2741298.0,14.8239,0,1,0,0
AUS,Australia,COL,Colombia,41694.4,10.6381,14827.0,9.6042,1177003.4,13.9785,634618.4,13.3608,0,0,0,0
VNM,Viet Nam,ESP,Spain,2486657.1,14.7264,10523.2,9.2613,569957.4,13.2533,1667510.2,14.3268,0,0,0,0
IRN,Iran,COL,Colombia,1036.8,6.9439,12841.5,9.4604,1306574.1,14.0829,634618.4,13.3608,0,0,0,0
CHN,China,MEX,Mexico,60932834.1,17.9253,12765.1,9.4545,17797724.0,16.6946,2288709.0,14.6435,0,0,0,0
AUS,Australia,ZAF,So. African Customs Union,729235.5,13.4998,10517.2,9.2608,1177003.4,13.9785,672752.5,13.4191,0,1,0,0
ARG,Argentina,JPN,Japan,385024.0,12.8611,18250.7,9.812,732951.0,13.5048,5162353.5,15.4569,0,0,0,0
USA,USA,PAK,Pakistan,2792969.7,14.8426,12199.9,9.4092,17712704.0,16.6898,1045692.6,13.8602,0,1,0,0
VNM,Viet Nam,NGA,Nigeria,195159.9,12.1816,10851.5,9.2921,569957.4,13.2533,822121.3,13.6196,0,1,0,0
SWE,Sweden,AUS,Australia,1765606.1,14.384,15299.9,9.6356,442183.8,12.9995,1177003.4,13.9785,0,0,0,0
MYS,Malaysia,COL,Colombia,162335.7,11.9974,18767.5,9.8399,743163.9,13.5187,634618.4,13.3608,0,0,0,0
ARG,Argentina,RUS,Russian Federation,685420.1,13.4378,14447.6,9.5783,732951.0,13.5048,3331626.2,15.019,0,0,0,0
NGA,Nigeria,KOR,Rep. of Korea,748177.6,13.5254,12112.8,9.402,822121.3,13.6196,1873959.5,14.4436,0,1,0,0
CHE,Switzerland,PHL,Philippines,357050.0,12.7856,10766.9,9.2842,558580.2,13.2332,800424.5,13.5929,0,1,0,0
MEX,Mexico,MYS,Malaysia,399559.5,12.8981,16031.0,9.6823,2288709.0,14.6435,743163.9,13.5187,0,0,0,0
BRA,Brazil,THA,Thailand,2035262.2,14.5261,16294.6,9.6986,2905474.5,14.8821,1102635.0,13.9132,0,1,0,0
AUS,Australia,POL,Poland,277171.8,12.5324,15226.5,9.6308,1177003.4,13.9785,1041614.3,13.8563,0,0,0,0
ARE,United Arab Emirates,MEX,Mexico,135341.2,11.8156,14153.3,9.5577,639613.9,13.3686,2288709.0,14.6435,0,0,0,0
AUS,Australia,EGY,Egypt,332024.4,12.713,13850.6,9.5361,1177003.4,13.9785,1103773.9,13.9142,0,1,0,0
